Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
22,gadget z,FURNITURE,Warehouse 1,Aisle 4,,47.63,Supplier C,In Stock,05-03-2023
23,gadget z,FURNITURE,Warehouse 3,Aisle 5,57,36.75,Supplier B,In Stock,05-03-2023
24,widget c,FURNITURE,Warehouse 3,Aisle 3,82,26.33,Supplier A,In Stock,05-03-2023
25,gadget x,FURNITURE,Warehouse 2,Aisle 4,two hundred,34.16,Supplier A,Low Stock,15-01-2023
26,gadget y,CLOTHING,Warehouse 3,Aisle 3,two hundred,,Supplier C,Low Stock,15-01-2023
27,widget b,CLOTHING,Warehouse 1,Aisle 1,,43.26,Supplier A,In Stock,
28,widget c,CLOTHING,Warehouse 1,Aisle 4,,10.65,Supplier C,Low Stock,
29,widget a,CLOTHING,Warehouse 1,Aisle 2,,23.63,Supplier A,Low Stock,15-01-2023
30,widget c,ELECTRONICS,Warehouse 3,Aisle 4,67,,Supplier B,In Stock,
31,gadget z,CLOTHING,Warehouse 2,Aisle 1,,,Supplier A,Low Stock,05-03-2023
32,gadget x,CLOTHING,Warehouse 3,Aisle 4,two hundred,15.48,Supplier B,Out of Stock,05-03-2023
33,widget c,FURNITURE,Warehouse 1,Aisle 5,,,Supplier A,In Stock,15-01-2023
34,widget c,TOYS,Warehouse 1,Aisle 4,,44.56,Supplier B,Low Stock,20-12-2022
35,gadget y,TOYS,Warehouse 3,Aisle 2,,,Supplier D,Out of Stock,15-01-2023
36,gadget z,CLOTHING,Warehouse 2,Aisle 1,,,Supplier D,In Stock,15-01-2023
37,gadget x,ELECTRONICS,Warehouse 2,Aisle 3,105,,Supplier A,Low Stock,25-04-2023
38,gadget y,CLOTHING,Warehouse 1,Aisle 1,,,Supplier C,Low Stock,05-03-2023
39,gadget y,ELECTRONICS,Warehouse 1,Aisle 3,,19.51,Supplier A,Out of Stock,15-01-2023
40,widget b,ELECTRONICS,Warehouse 1,Aisle 2,281,,Supplier A,Low Stock,20-12-2022
41,gadget x,FURNITURE,Warehouse 3,Aisle 2,two hundred,33.81,Supplier D,Low Stock,
42,gadget y,ELECTRONICS,Warehouse 3,Aisle 4,two hundred,,Supplier D,In Stock,05-03-2023
43,widget b,TOYS,Warehouse 1,Aisle 5,two hundred,20.05,Supplier A,In Stock,
44,widget c,ELECTRONICS,Warehouse 1,Aisle 5,two hundred,35.03,Supplier A,Low Stock,20-12-2022
45,gadget z,CLOTHING,Warehouse 1,Aisle 3,80,,Supplier A,In Stock,05-03-2023
46,gadget x,ELECTRONICS,Warehouse 3,Aisle 2,,,Supplier B,Out of Stock,15-01-2023
47,gadget y,ELECTRONICS,Warehouse 3,Aisle 5,,,Supplier D,Low Stock,05-03-2023
48,widget c,CLOTHING,Warehouse 3,Aisle 4,two hundred,,Supplier B,Out of Stock,
49,widget b,CLOTHING,Warehouse 2,Aisle 5,two hundred,21.59,Supplier A,In Stock,15-01-2023
50,widget c,ELECTRONICS,Warehouse 1,Aisle 5,two hundred,,Supplier D,Low Stock,
51,gadget x,CLOTHING,Warehouse 1,Aisle 1,210,19.11,Supplier A,Out of Stock,15-01-2023
52,gadget x,ELECTRONICS,Warehouse 2,Aisle 2,151,,Supplier B,Out of Stock,25-04-2023
53,gadget x,CLOTHING,Warehouse 1,Aisle 1,two hundred,,Supplier B,Out of Stock,15-01-2023
54,gadget x,TOYS,Warehouse 1,Aisle 4,two hundred,,Supplier D,In Stock,
55,widget c,ELECTRONICS,Warehouse 1,Aisle 4,two hundred,,Supplier B,Low Stock,25-04-2023
56,widget c,ELECTRONICS,Warehouse 2,Aisle 1,,,Supplier D,In Stock,
57,gadget x,FURNITURE,Warehouse 2,Aisle 1,208,,Supplier C,Low Stock,05-03-2023
58,widget c,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,34.44,Supplier B,Out of Stock,15-01-2023
59,gadget z,FURNITURE,Warehouse 1,Aisle 4,two hundred,49.71,Supplier B,In Stock,15-01-2023
60,widget a,ELECTRONICS,Warehouse 2,Aisle 4,174,,Supplier C,Low Stock,15-01-2023
61,widget a,TOYS,Warehouse 2,Aisle 5,94,,Supplier A,Low Stock,05-03-2023
62,gadget z,TOYS,Warehouse 3,Aisle 4,,,Supplier C,In Stock,25-04-2023
63,gadget z,TOYS,Warehouse 3,Aisle 5,two hundred,32.82,Supplier B,In Stock,
64,gadget y,ELECTRONICS,Warehouse 3,Aisle 4,,31.88,Supplier B,In Stock,25-04-2023
65,widget a,ELECTRONICS,Warehouse 3,Aisle 1,,,Supplier C,In Stock,15-01-2023
66,gadget y,TOYS,Warehouse 2,Aisle 4,106,,Supplier A,Out of Stock,25-04-2023
67,gadget y,FURNITURE,Warehouse 2,Aisle 5,276,12.21,Supplier B,In Stock,
68,gadget y,TOYS,Warehouse 2,Aisle 4,two hundred,,Supplier D,Out of Stock,
69,gadget x,FURNITURE,Warehouse 1,Aisle 1,two hundred,45.06,Supplier D,Out of Stock,20-12-2022
70,gadget y,TOYS,Warehouse 2,Aisle 5,293,,Supplier B,In Stock,15-01-2023
71,gadget y,CLOTHING,Warehouse 1,Aisle 2,two hundred,37.68,Supplier B,In Stock,15-01-2023
72,gadget y,CLOTHING,Warehouse 2,Aisle 4,,,Supplier A,In Stock,25-04-2023
73,gadget z,FURNITURE,Warehouse 1,Aisle 4,84,42.72,Supplier D,Out of Stock,25-04-2023
74,gadget x,ELECTRONICS,Warehouse 2,Aisle 2,two hundred,,Supplier A,In Stock,
75,gadget x,FURNITURE,Warehouse 2,Aisle 3,,,Supplier D,Out of Stock,25-04-2023
76,widget b,CLOTHING,Warehouse 1,Aisle 2,,38.44,Supplier B,Low Stock,20-12-2022
77,widget a,TOYS,Warehouse 1,Aisle 5,,,Supplier C,Out of Stock,
78,gadget x,FURNITURE,Warehouse 2,Aisle 3,,,Supplier C,In Stock,20-12-2022
79,widget a,TOYS,Warehouse 3,Aisle 3,,24.03,Supplier C,In Stock,15-01-2023
80,gadget x,TOYS,Warehouse 3,Aisle 5,183,15.8,Supplier C,Low Stock,05-03-2023
81,widget c,ELECTRONICS,Warehouse 1,Aisle 4,two hundred,,Supplier D,Out of Stock,20-12-2022
82,widget c,CLOTHING,Warehouse 3,Aisle 3,266,42.13,Supplier B,Low Stock,15-01-2023
83,gadget z,ELECTRONICS,Warehouse 2,Aisle 4,,40.4,Supplier C,Low Stock,25-04-2023
84,gadget y,TOYS,Warehouse 1,Aisle 1,,45.09,Supplier A,Out of Stock,25-04-2023
85,widget c,TOYS,Warehouse 2,Aisle 4,,46.87,Supplier C,In Stock,20-12-2022
86,gadget z,FURNITURE,Warehouse 2,Aisle 2,two hundred,,Supplier A,Out of Stock,
87,gadget z,FURNITURE,Warehouse 3,Aisle 2,two hundred,,Supplier C,In Stock,05-03-2023
88,gadget x,FURNITURE,Warehouse 2,Aisle 4,two hundred,,Supplier C,Out of Stock,
89,gadget x,ELECTRONICS,Warehouse 3,Aisle 5,,29.65,Supplier D,In Stock,25-04-2023
90,gadget x,TOYS,Warehouse 2,Aisle 1,two hundred,,Supplier A,In Stock,20-12-2022
91,gadget y,CLOTHING,Warehouse 2,Aisle 2,,,Supplier B,Out of Stock,20-12-2022
92,widget b,FURNITURE,Warehouse 2,Aisle 1,277,25.42,Supplier B,Low Stock,15-01-2023
93,gadget z,TOYS,Warehouse 1,Aisle 3,two hundred,16.02,Supplier D,Out of Stock,
94,widget b,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier A,Low Stock,05-03-2023
95,widget b,ELECTRONICS,Warehouse 2,Aisle 2,,,Supplier D,In Stock,15-01-2023
96,widget c,FURNITURE,Warehouse 1,Aisle 5,265,,Supplier D,In Stock,20-12-2022
97,widget b,TOYS,Warehouse 3,Aisle 1,258,16.42,Supplier B,Low Stock,20-12-2022
98,widget a,FURNITURE,Warehouse 1,Aisle 1,two hundred,36.94,Supplier C,In Stock,15-01-2023
99,gadget y,ELECTRONICS,Warehouse 2,Aisle 3,253,40.6,Supplier D,Out of Stock,
100,widget a,CLOTHING,Warehouse 1,Aisle 3,,32.86,Supplier A,Out of Stock,25-04-2023
101,gadget x,FURNITURE,Warehouse 2,Aisle 5,52,,Supplier B,Low Stock,05-03-2023
102,widget a,ELECTRONICS,Warehouse 3,Aisle 3,two hundred,,Supplier C,In Stock,05-03-2023
103,widget b,TOYS,Warehouse 2,Aisle 5,two hundred,25.79,Supplier D,Low Stock,25-04-2023
104,gadget z,FURNITURE,Warehouse 2,Aisle 4,185,,Supplier D,Low Stock,25-04-2023
105,widget b,CLOTHING,Warehouse 1,Aisle 2,176,,Supplier B,Low Stock,05-03-2023
106,widget a,TOYS,Warehouse 1,Aisle 2,,26.93,Supplier A,In Stock,20-12-2022
107,gadget z,FURNITURE,Warehouse 2,Aisle 1,two hundred,,Supplier B,Low Stock,15-01-2023
108,gadget x,TOYS,Warehouse 2,Aisle 2,two hundred,,Supplier C,Low Stock,05-03-2023
109,gadget x,FURNITURE,Warehouse 3,Aisle 5,two hundred,,Supplier B,Low Stock,15-01-2023
110,widget b,FURNITURE,Warehouse 3,Aisle 5,two hundred,23.68,Supplier D,Out of Stock,05-03-2023
111,gadget z,FURNITURE,Warehouse 3,Aisle 3,,,Supplier D,In Stock,15-01-2023
112,gadget z,FURNITURE,Warehouse 1,Aisle 2,two hundred,,Supplier D,Out of Stock,25-04-2023
113,gadget x,TOYS,Warehouse 2,Aisle 2,51,,Supplier A,Low Stock,20-12-2022
114,gadget y,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,,Supplier A,Low Stock,15-01-2023
115,gadget y,ELECTRONICS,Warehouse 1,Aisle 1,,45.05,Supplier C,Low Stock,05-03-2023
116,widget b,FURNITURE,Warehouse 3,Aisle 4,two hundred,37.39,Supplier A,Out of Stock,20-12-2022
117,gadget z,ELECTRONICS,Warehouse 2,Aisle 5,,,Supplier C,In Stock,
118,widget c,ELECTRONICS,Warehouse 2,Aisle 2,269,,Supplier C,In Stock,15-01-2023
119,widget b,ELECTRONICS,Warehouse 1,Aisle 4,,35.67,Supplier D,Low Stock,20-12-2022
120,widget c,FURNITURE,Warehouse 3,Aisle 1,two hundred,,Supplier C,Low Stock,
121,gadget x,ELECTRONICS,Warehouse 3,Aisle 4,282,24.96,Supplier D,Out of Stock,20-12-2022
122,gadget y,TOYS,Warehouse 3,Aisle 5,255,38.56,Supplier A,Low Stock,05-03-2023
123,widget a,TOYS,Warehouse 1,Aisle 5,two hundred,12.74,Supplier B,Low Stock,15-01-2023
124,widget c,FURNITURE,Warehouse 2,Aisle 3,two hundred,48.98,Supplier C,Out of Stock,20-12-2022
125,widget b,TOYS,Warehouse 3,Aisle 5,two hundred,,Supplier A,Low Stock,
126,gadget y,TOYS,Warehouse 2,Aisle 1,two hundred,,Supplier D,Low Stock,15-01-2023
127,gadget z,TOYS,Warehouse 2,Aisle 4,156,14.5,Supplier B,Out of Stock,
128,widget a,CLOTHING,Warehouse 2,Aisle 1,two hundred,17.07,Supplier C,Out of Stock,05-03-2023
129,widget a,FURNITURE,Warehouse 1,Aisle 2,,13.71,Supplier D,Low Stock,05-03-2023
130,gadget y,FURNITURE,Warehouse 3,Aisle 3,84,,Supplier C,Out of Stock,05-03-2023
131,widget b,CLOTHING,Warehouse 2,Aisle 3,179,,Supplier B,In Stock,05-03-2023
132,gadget y,CLOTHING,Warehouse 1,Aisle 3,,,Supplier D,Out of Stock,
133,gadget x,FURNITURE,Warehouse 3,Aisle 3,two hundred,,Supplier A,In Stock,05-03-2023
134,gadget y,TOYS,Warehouse 2,Aisle 5,,43.92,Supplier B,Low Stock,15-01-2023
135,widget b,CLOTHING,Warehouse 2,Aisle 4,,,Supplier A,Low Stock,
136,widget c,TOYS,Warehouse 2,Aisle 2,two hundred,,Supplier B,Low Stock,20-12-2022
137,widget b,CLOTHING,Warehouse 2,Aisle 5,118,21.24,Supplier A,Out of Stock,05-03-2023
138,widget a,TOYS,Warehouse 2,Aisle 2,,,Supplier D,Out of Stock,
139,widget a,ELECTRONICS,Warehouse 2,Aisle 5,,30.79,Supplier D,Out of Stock,15-01-2023
140,gadget z,ELECTRONICS,Warehouse 2,Aisle 5,two hundred,,Supplier D,Out of Stock,20-12-2022
141,widget c,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier C,Low Stock,05-03-2023
142,widget b,TOYS,Warehouse 3,Aisle 5,two hundred,34.99,Supplier D,Out of Stock,
143,widget b,FURNITURE,Warehouse 2,Aisle 1,,23.44,Supplier B,In Stock,25-04-2023
144,widget a,ELECTRONICS,Warehouse 2,Aisle 3,two hundred,,Supplier A,Low Stock,
145,widget a,FURNITURE,Warehouse 3,Aisle 2,two hundred,,Supplier A,Out of Stock,20-12-2022
146,gadget y,TOYS,Warehouse 3,Aisle 4,187,,Supplier B,Out of Stock,25-04-2023
147,widget c,TOYS,Warehouse 3,Aisle 5,two hundred,29.52,Supplier B,Out of Stock,20-12-2022
148,widget c,FURNITURE,Warehouse 2,Aisle 2,two hundred,,Supplier D,Out of Stock,
149,gadget x,ELECTRONICS,Warehouse 2,Aisle 1,286,17.76,Supplier C,In Stock,15-01-2023
150,widget b,CLOTHING,Warehouse 1,Aisle 2,101,,Supplier A,Out of Stock,15-01-2023
151,gadget x,TOYS,Warehouse 1,Aisle 1,two hundred,40.19,Supplier B,Out of Stock,05-03-2023
152,gadget x,CLOTHING,Warehouse 2,Aisle 2,204,21.84,Supplier B,Low Stock,
153,gadget x,TOYS,Warehouse 2,Aisle 1,,10.62,Supplier A,In Stock,15-01-2023
154,widget b,CLOTHING,Warehouse 1,Aisle 3,,,Supplier A,In Stock,20-12-2022
155,gadget y,TOYS,Warehouse 2,Aisle 5,,42.9,Supplier D,Low Stock,20-12-2022
156,widget a,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier A,Low Stock,05-03-2023
157,gadget y,TOYS,Warehouse 3,Aisle 4,,47.73,Supplier C,In Stock,25-04-2023
158,widget c,ELECTRONICS,Warehouse 2,Aisle 3,171,44.64,Supplier B,Low Stock,15-01-2023
159,gadget y,TOYS,Warehouse 2,Aisle 5,,42.38,Supplier D,Low Stock,
160,widget a,ELECTRONICS,Warehouse 2,Aisle 1,two hundred,21.43,Supplier D,Low Stock,20-12-2022
161,gadget z,FURNITURE,Warehouse 3,Aisle 5,83,,Supplier D,In Stock,05-03-2023
162,gadget y,CLOTHING,Warehouse 2,Aisle 1,149,,Supplier A,Low Stock,25-04-2023
163,gadget y,FURNITURE,Warehouse 3,Aisle 2,267,48.45,Supplier B,Low Stock,25-04-2023
164,widget b,FURNITURE,Warehouse 2,Aisle 4,two hundred,22.2,Supplier C,Out of Stock,25-04-2023
165,widget c,CLOTHING,Warehouse 1,Aisle 2,,48.37,Supplier B,In Stock,05-03-2023
166,widget a,FURNITURE,Warehouse 1,Aisle 1,100,,Supplier D,Out of Stock,15-01-2023
167,widget c,CLOTHING,Warehouse 1,Aisle 1,two hundred,,Supplier B,In Stock,25-04-2023
168,gadget z,TOYS,Warehouse 2,Aisle 4,,,Supplier C,Low Stock,05-03-2023
169,gadget y,CLOTHING,Warehouse 2,Aisle 2,102,31.75,Supplier C,Out of Stock,20-12-2022
170,gadget x,CLOTHING,Warehouse 2,Aisle 4,two hundred,15.73,Supplier A,Low Stock,
171,widget b,FURNITURE,Warehouse 1,Aisle 5,99,39.46,Supplier C,Out of Stock,20-12-2022
172,gadget x,TOYS,Warehouse 1,Aisle 2,two hundred,22.34,Supplier D,Low Stock,
173,gadget z,CLOTHING,Warehouse 1,Aisle 2,64,,Supplier B,Low Stock,
174,widget c,CLOTHING,Warehouse 1,Aisle 5,145,12.37,Supplier C,In Stock,05-03-2023
175,widget a,ELECTRONICS,Warehouse 1,Aisle 5,53,43.73,Supplier A,Out of Stock,05-03-2023
176,gadget z,FURNITURE,Warehouse 2,Aisle 2,two hundred,46.19,Supplier A,Out of Stock,
177,gadget y,ELECTRONICS,Warehouse 3,Aisle 5,230,34.82,Supplier A,In Stock,05-03-2023
178,gadget y,TOYS,Warehouse 1,Aisle 5,,11.57,Supplier C,In Stock,20-12-2022
179,widget c,TOYS,Warehouse 2,Aisle 3,52,35.03,Supplier D,In Stock,15-01-2023
180,gadget x,FURNITURE,Warehouse 3,Aisle 3,,49.47,Supplier A,In Stock,25-04-2023
181,gadget x,ELECTRONICS,Warehouse 1,Aisle 3,two hundred,14.08,Supplier B,In Stock,25-04-2023
182,gadget y,ELECTRONICS,Warehouse 3,Aisle 1,218,35.95,Supplier B,Out of Stock,25-04-2023
183,widget b,ELECTRONICS,Warehouse 2,Aisle 2,143,,Supplier C,In Stock,05-03-2023
184,widget c,ELECTRONICS,Warehouse 1,Aisle 2,138,,Supplier D,In Stock,25-04-2023
185,widget c,FURNITURE,Warehouse 3,Aisle 4,,,Supplier B,Low Stock,25-04-2023
186,widget c,CLOTHING,Warehouse 3,Aisle 2,,41.82,Supplier C,Out of Stock,05-03-2023
187,gadget y,TOYS,Warehouse 1,Aisle 2,292,,Supplier D,Out of Stock,05-03-2023
188,gadget z,FURNITURE,Warehouse 2,Aisle 3,,40.32,Supplier C,Low Stock,15-01-2023
189,gadget z,TOYS,Warehouse 3,Aisle 1,115,,Supplier D,Out of Stock,
190,widget b,FURNITURE,Warehouse 3,Aisle 5,two hundred,,Supplier C,Low Stock,20-12-2022
191,gadget x,TOYS,Warehouse 2,Aisle 1,66,47.23,Supplier D,In Stock,05-03-2023
192,widget a,FURNITURE,Warehouse 1,Aisle 4,two hundred,,Supplier A,Out of Stock,15-01-2023
193,widget c,FURNITURE,Warehouse 3,Aisle 4,109,22.65,Supplier C,Low Stock,05-03-2023
194,gadget z,ELECTRONICS,Warehouse 1,Aisle 5,two hundred,22.66,Supplier B,Out of Stock,15-01-2023
195,widget b,FURNITURE,Warehouse 2,Aisle 3,two hundred,,Supplier A,Out of Stock,20-12-2022
196,gadget x,FURNITURE,Warehouse 2,Aisle 4,two hundred,25.67,Supplier D,Out of Stock,
197,gadget y,FURNITURE,Warehouse 3,Aisle 3,168,28.48,Supplier A,In Stock,05-03-2023
198,widget a,TOYS,Warehouse 3,Aisle 3,two hundred,,Supplier A,In Stock,20-12-2022
199,gadget z,TOYS,Warehouse 1,Aisle 3,126,,Supplier C,Low Stock,25-04-2023
200,widget b,ELECTRONICS,Warehouse 3,Aisle 3,277,39.24,Supplier D,Out of Stock,
201,gadget y,FURNITURE,Warehouse 2,Aisle 3,two hundred,48.31,Supplier C,Out of Stock,15-01-2023
202,widget c,FURNITURE,Warehouse 1,Aisle 4,two hundred,22.06,Supplier D,In Stock,20-12-2022
203,gadget z,TOYS,Warehouse 1,Aisle 5,,24.69,Supplier D,In Stock,05-03-2023
204,widget a,ELECTRONICS,Warehouse 1,Aisle 4,,,Supplier B,In Stock,15-01-2023
205,gadget x,ELECTRONICS,Warehouse 3,Aisle 5,two hundred,20.78,Supplier D,In Stock,20-12-2022
206,widget a,ELECTRONICS,Warehouse 1,Aisle 3,two hundred,12.81,Supplier A,Low Stock,20-12-2022
207,gadget z,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier B,In Stock,05-03-2023
208,widget a,CLOTHING,Warehouse 1,Aisle 1,,,Supplier A,In Stock,
209,widget b,CLOTHING,Warehouse 3,Aisle 2,two hundred,,Supplier D,In Stock,
210,gadget x,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier A,In Stock,15-01-2023
211,widget a,ELECTRONICS,Warehouse 3,Aisle 1,,18.69,Supplier D,Out of Stock,05-03-2023
212,gadget z,ELECTRONICS,Warehouse 3,Aisle 4,two hundred,31.14,Supplier A,Low Stock,
213,gadget x,FURNITURE,Warehouse 1,Aisle 3,,,Supplier A,Out of Stock,
214,gadget y,FURNITURE,Warehouse 1,Aisle 3,two hundred,31.86,Supplier C,Out of Stock,20-12-2022
215,gadget y,CLOTHING,Warehouse 3,Aisle 1,271,15.63,Supplier D,In Stock,
216,widget c,CLOTHING,Warehouse 3,Aisle 3,,37.99,Supplier B,In Stock,25-04-2023
217,widget c,TOYS,Warehouse 3,Aisle 1,,,Supplier D,Out of Stock,15-01-2023
218,widget b,ELECTRONICS,Warehouse 3,Aisle 3,two hundred,,Supplier A,Out of Stock,05-03-2023
219,gadget y,ELECTRONICS,Warehouse 2,Aisle 4,102,,Supplier D,Out of Stock,25-04-2023
220,widget c,TOYS,Warehouse 1,Aisle 5,220,,Supplier C,In Stock,15-01-2023
221,gadget z,ELECTRONICS,Warehouse 1,Aisle 1,287,44.85,Supplier C,In Stock,05-03-2023
222,widget c,CLOTHING,Warehouse 1,Aisle 5,two hundred,,Supplier B,In Stock,05-03-2023
223,gadget z,TOYS,Warehouse 2,Aisle 4,two hundred,21.52,Supplier B,Low Stock,
224,widget b,FURNITURE,Warehouse 3,Aisle 3,two hundred,47.59,Supplier C,Out of Stock,25-04-2023
225,gadget y,ELECTRONICS,Warehouse 3,Aisle 1,90,,Supplier C,In Stock,20-12-2022
226,widget a,CLOTHING,Warehouse 1,Aisle 2,,,Supplier C,Out of Stock,15-01-2023
227,gadget x,TOYS,Warehouse 2,Aisle 2,two hundred,34.09,Supplier A,In Stock,15-01-2023
228,widget b,ELECTRONICS,Warehouse 1,Aisle 5,202,,Supplier D,In Stock,20-12-2022
229,widget c,CLOTHING,Warehouse 1,Aisle 1,two hundred,44.67,Supplier D,In Stock,05-03-2023
230,widget c,FURNITURE,Warehouse 1,Aisle 3,,,Supplier C,Out of Stock,15-01-2023
231,widget b,FURNITURE,Warehouse 3,Aisle 5,,45.19,Supplier C,In Stock,25-04-2023
232,gadget x,FURNITURE,Warehouse 3,Aisle 4,two hundred,43.98,Supplier C,Out of Stock,20-12-2022
233,gadget z,ELECTRONICS,Warehouse 3,Aisle 2,,,Supplier A,Out of Stock,
234,widget b,ELECTRONICS,Warehouse 1,Aisle 5,two hundred,25.94,Supplier D,In Stock,20-12-2022
235,widget b,ELECTRONICS,Warehouse 3,Aisle 4,,31.63,Supplier B,Low Stock,
236,widget a,CLOTHING,Warehouse 1,Aisle 3,two hundred,,Supplier A,In Stock,20-12-2022
237,widget a,ELECTRONICS,Warehouse 1,Aisle 3,two hundred,23.63,Supplier C,Out of Stock,05-03-2023
238,gadget x,ELECTRONICS,Warehouse 2,Aisle 2,82,,Supplier A,Out of Stock,05-03-2023
239,widget c,ELECTRONICS,Warehouse 3,Aisle 2,two hundred,16.99,Supplier C,Low Stock,25-04-2023
240,gadget x,CLOTHING,Warehouse 1,Aisle 3,,27.23,Supplier B,Low Stock,15-01-2023
241,gadget z,FURNITURE,Warehouse 3,Aisle 2,,,Supplier D,Out of Stock,25-04-2023
242,widget a,FURNITURE,Warehouse 3,Aisle 3,two hundred,44.74,Supplier D,Out of Stock,20-12-2022
243,widget b,FURNITURE,Warehouse 3,Aisle 4,two hundred,,Supplier D,Low Stock,15-01-2023
244,gadget y,FURNITURE,Warehouse 1,Aisle 5,,32.03,Supplier A,In Stock,05-03-2023
245,gadget x,CLOTHING,Warehouse 3,Aisle 4,247,11.11,Supplier D,Low Stock,15-01-2023
246,widget b,ELECTRONICS,Warehouse 2,Aisle 4,144,35.79,Supplier D,Out of Stock,
247,gadget z,CLOTHING,Warehouse 2,Aisle 2,237,22.04,Supplier C,Out of Stock,25-04-2023
248,widget c,TOYS,Warehouse 3,Aisle 4,117,27.93,Supplier C,Out of Stock,25-04-2023
249,gadget x,TOYS,Warehouse 2,Aisle 5,59,48.55,Supplier C,In Stock,25-04-2023
250,gadget x,ELECTRONICS,Warehouse 3,Aisle 1,,28.52,Supplier B,In Stock,15-01-2023
251,widget c,CLOTHING,Warehouse 3,Aisle 3,two hundred,30.25,Supplier D,Low Stock,25-04-2023
252,gadget z,ELECTRONICS,Warehouse 2,Aisle 5,two hundred,,Supplier D,Low Stock,15-01-2023
253,gadget y,CLOTHING,Warehouse 1,Aisle 2,,,Supplier D,Out of Stock,05-03-2023
254,widget c,CLOTHING,Warehouse 3,Aisle 4,two hundred,,Supplier A,In Stock,25-04-2023
255,gadget z,FURNITURE,Warehouse 2,Aisle 4,two hundred,,Supplier A,In Stock,25-04-2023
256,gadget z,FURNITURE,Warehouse 2,Aisle 4,97,43.37,Supplier D,In Stock,20-12-2022
257,gadget y,TOYS,Warehouse 1,Aisle 4,115,,Supplier B,Low Stock,25-04-2023
258,widget b,ELECTRONICS,Warehouse 1,Aisle 1,,,Supplier D,In Stock,15-01-2023
259,widget a,ELECTRONICS,Warehouse 2,Aisle 3,,45.9,Supplier B,Out of Stock,25-04-2023
260,widget c,FURNITURE,Warehouse 3,Aisle 2,,,Supplier B,Out of Stock,05-03-2023
261,gadget x,ELECTRONICS,Warehouse 3,Aisle 5,,19.82,Supplier D,Out of Stock,20-12-2022
262,gadget z,CLOTHING,Warehouse 3,Aisle 2,two hundred,,Supplier B,In Stock,20-12-2022
263,widget c,FURNITURE,Warehouse 1,Aisle 1,95,,Supplier C,Out of Stock,25-04-2023
264,gadget y,FURNITURE,Warehouse 3,Aisle 1,230,,Supplier A,Out of Stock,25-04-2023
265,widget b,CLOTHING,Warehouse 2,Aisle 5,two hundred,29.69,Supplier B,Out of Stock,
266,widget b,CLOTHING,Warehouse 1,Aisle 5,two hundred,,Supplier A,In Stock,05-03-2023
267,gadget y,ELECTRONICS,Warehouse 3,Aisle 5,,,Supplier B,Out of Stock,15-01-2023
268,widget a,TOYS,Warehouse 2,Aisle 1,251,,Supplier C,In Stock,25-04-2023
