product_id,product_name,category,warehouse,location,quantity,price,supplier,status,last_restocked
24,Widget C,FURNITURE,Warehouse 3,Aisle 3,82,26.33,Supplier A,In Stock,2023-03-05
25,Gadget X,FURNITURE,Warehouse 2,Aisle 4,200,34.16,Supplier A,Low Stock,2023-01-15
26,Gadget Y,CLOTHING,Warehouse 3,Aisle 3,200,0,Supplier C,Low Stock,2023-01-15
27,Widget B,CLOTHING,Warehouse 1,Aisle 1,0,43.26,Supplier A,In Stock,2023-04-25
28,Widget C,CLOTHING,Warehouse 1,Aisle 4,0,10.65,Supplier C,Low Stock,2023-04-25
29,Widget A,CLOTHING,Warehouse 1,Aisle 2,0,23.63,Supplier A,Low Stock,2023-01-15
30,Widget C,ELECTRONICS,Warehouse 3,Aisle 4,67,0,Supplier B,In Stock,2023-04-25
31,Gadget Z,CLOTHING,Warehouse 2,Aisle 1,0,0,Supplier A,Low Stock,2023-03-05
32,Gadget X,CLOTHING,Warehouse 3,Aisle 4,200,15.48,Supplier B,Out Of Stock,2023-03-05
33,Widget C,FURNITURE,Warehouse 1,Aisle 5,0,0,Supplier A,In Stock,2023-01-15
34,Widget C,TOYS,Warehouse 1,Aisle 4,0,44.56,Supplier B,Low Stock,2022-12-20
35,Gadget Y,TOYS,Warehouse 3,Aisle 2,0,0,Supplier D,Out Of Stock,2023-01-15
36,Gadget Z,CLOTHING,Warehouse 2,Aisle 1,0,0,Supplier D,In Stock,2023-01-15
37,Gadget X,ELECTRONICS,Warehouse 2,Aisle 3,105,0,Supplier A,Low Stock,2023-04-25
38,Gadget Y,CLOTHING,Warehouse 1,Aisle 1,0,0,Supplier C,Low Stock,2023-03-05
39,Gadget Y,ELECTRONICS,Warehouse 1,Aisle 3,0,19.51,Supplier A,Out Of Stock,2023-01-15
40,Widget B,ELECTRONICS,Warehouse 1,Aisle 2,281,0,Supplier A,Low Stock,2022-12-20
41,Gadget X,FURNITURE,Warehouse 3,Aisle 2,200,33.81,Supplier D,Low Stock,2023-04-25
42,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 4,200,0,Supplier D,In Stock,2023-03-05
43,Widget B,TOYS,Warehouse 1,Aisle 5,200,20.05,Supplier A,In Stock,2023-04-25
44,Widget C,ELECTRONICS,Warehouse 1,Aisle 5,200,35.03,Supplier A,Low Stock,2022-12-20
45,Gadget Z,CLOTHING,Warehouse 1,Aisle 3,80,0,Supplier A,In Stock,2023-03-05
46,Gadget X,ELECTRONICS,Warehouse 3,Aisle 2,0,0,Supplier B,Out Of Stock,2023-01-15
47,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 5,0,0,Supplier D,Low Stock,2023-03-05
48,Widget C,CLOTHING,Warehouse 3,Aisle 4,200,0,Supplier B,Out Of Stock,2023-04-25
49,Widget B,CLOTHING,Warehouse 2,Aisle 5,200,21.59,Supplier A,In Stock,2023-01-15
50,Widget C,ELECTRONICS,Warehouse 1,Aisle 5,200,0,Supplier D,Low Stock,2023-04-25
51,Gadget X,CLOTHING,Warehouse 1,Aisle 1,210,19.11,Supplier A,Out Of Stock,2023-01-15
52,Gadget X,ELECTRONICS,Warehouse 2,Aisle 2,151,0,Supplier B,Out Of Stock,2023-04-25
53,Gadget X,CLOTHING,Warehouse 1,Aisle 1,200,0,Supplier B,Out Of Stock,2023-01-15
54,Gadget X,TOYS,Warehouse 1,Aisle 4,200,0,Supplier D,In Stock,2023-04-25
55,Widget C,ELECTRONICS,Warehouse 1,Aisle 4,200,0,Supplier B,Low Stock,2023-04-25
56,Widget C,ELECTRONICS,Warehouse 2,Aisle 1,0,0,Supplier D,In Stock,2023-04-25
57,Gadget X,FURNITURE,Warehouse 2,Aisle 1,208,0,Supplier C,Low Stock,2023-03-05
58,Widget C,ELECTRONICS,Warehouse 3,Aisle 1,200,34.44,Supplier B,Out Of Stock,2023-01-15
59,Gadget Z,FURNITURE,Warehouse 1,Aisle 4,200,49.71,Supplier B,In Stock,2023-01-15
60,Widget A,ELECTRONICS,Warehouse 2,Aisle 4,174,0,Supplier C,Low Stock,2023-01-15
61,Widget A,TOYS,Warehouse 2,Aisle 5,94,0,Supplier A,Low Stock,2023-03-05
62,Gadget Z,TOYS,Warehouse 3,Aisle 4,0,0,Supplier C,In Stock,2023-04-25
63,Gadget Z,TOYS,Warehouse 3,Aisle 5,200,32.82,Supplier B,In Stock,2023-04-25
64,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 4,0,31.88,Supplier B,In Stock,2023-04-25
65,Widget A,ELECTRONICS,Warehouse 3,Aisle 1,0,0,Supplier C,In Stock,2023-01-15
66,Gadget Y,TOYS,Warehouse 2,Aisle 4,106,0,Supplier A,Out Of Stock,2023-04-25
67,Gadget Y,FURNITURE,Warehouse 2,Aisle 5,276,12.21,Supplier B,In Stock,2023-04-25
68,Gadget Y,TOYS,Warehouse 2,Aisle 4,200,0,Supplier D,Out Of Stock,2023-04-25
69,Gadget X,FURNITURE,Warehouse 1,Aisle 1,200,45.06,Supplier D,Out Of Stock,2022-12-20
70,Gadget Y,TOYS,Warehouse 2,Aisle 5,293,0,Supplier B,In Stock,2023-01-15
71,Gadget Y,CLOTHING,Warehouse 1,Aisle 2,200,37.68,Supplier B,In Stock,2023-01-15
72,Gadget Y,CLOTHING,Warehouse 2,Aisle 4,0,0,Supplier A,In Stock,2023-04-25
73,Gadget Z,FURNITURE,Warehouse 1,Aisle 4,84,42.72,Supplier D,Out Of Stock,2023-04-25
74,Gadget X,ELECTRONICS,Warehouse 2,Aisle 2,200,0,Supplier A,In Stock,2023-04-25
75,Gadget X,FURNITURE,Warehouse 2,Aisle 3,0,0,Supplier D,Out Of Stock,2023-04-25
76,Widget B,CLOTHING,Warehouse 1,Aisle 2,0,38.44,Supplier B,Low Stock,2022-12-20
77,Widget A,TOYS,Warehouse 1,Aisle 5,0,0,Supplier C,Out Of Stock,2023-04-25
78,Gadget X,FURNITURE,Warehouse 2,Aisle 3,0,0,Supplier C,In Stock,2022-12-20
79,Widget A,TOYS,Warehouse 3,Aisle 3,0,24.03,Supplier C,In Stock,2023-01-15
80,Gadget X,TOYS,Warehouse 3,Aisle 5,183,15.8,Supplier C,Low Stock,2023-03-05
81,Widget C,ELECTRONICS,Warehouse 1,Aisle 4,200,0,Supplier D,Out Of Stock,2022-12-20
82,Widget C,CLOTHING,Warehouse 3,Aisle 3,266,42.13,Supplier B,Low Stock,2023-01-15
83,Gadget Z,ELECTRONICS,Warehouse 2,Aisle 4,0,40.4,Supplier C,Low Stock,2023-04-25
84,Gadget Y,TOYS,Warehouse 1,Aisle 1,0,45.09,Supplier A,Out Of Stock,2023-04-25
85,Widget C,TOYS,Warehouse 2,Aisle 4,0,46.87,Supplier C,In Stock,2022-12-20
86,Gadget Z,FURNITURE,Warehouse 2,Aisle 2,200,0,Supplier A,Out Of Stock,2023-04-25
87,Gadget Z,FURNITURE,Warehouse 3,Aisle 2,200,0,Supplier C,In Stock,2023-03-05
88,Gadget X,FURNITURE,Warehouse 2,Aisle 4,200,0,Supplier C,Out Of Stock,2023-04-25
89,Gadget X,ELECTRONICS,Warehouse 3,Aisle 5,0,29.65,Supplier D,In Stock,2023-04-25
90,Gadget X,TOYS,Warehouse 2,Aisle 1,200,0,Supplier A,In Stock,2022-12-20
91,Gadget Y,CLOTHING,Warehouse 2,Aisle 2,0,0,Supplier B,Out Of Stock,2022-12-20
92,Widget B,FURNITURE,Warehouse 2,Aisle 1,277,25.42,Supplier B,Low Stock,2023-01-15
93,Gadget Z,TOYS,Warehouse 1,Aisle 3,200,16.02,Supplier D,Out Of Stock,2023-04-25
94,Widget B,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier A,Low Stock,2023-03-05
95,Widget B,ELECTRONICS,Warehouse 2,Aisle 2,0,0,Supplier D,In Stock,2023-01-15
96,Widget C,FURNITURE,Warehouse 1,Aisle 5,265,0,Supplier D,In Stock,2022-12-20
97,Widget B,TOYS,Warehouse 3,Aisle 1,258,16.42,Supplier B,Low Stock,2022-12-20
98,Widget A,FURNITURE,Warehouse 1,Aisle 1,200,36.94,Supplier C,In Stock,2023-01-15
99,Gadget Y,ELECTRONICS,Warehouse 2,Aisle 3,253,40.6,Supplier D,Out Of Stock,2023-04-25
100,Widget A,CLOTHING,Warehouse 1,Aisle 3,0,32.86,Supplier A,Out Of Stock,2023-04-25
101,Gadget X,FURNITURE,Warehouse 2,Aisle 5,52,0,Supplier B,Low Stock,2023-03-05
102,Widget A,ELECTRONICS,Warehouse 3,Aisle 3,200,0,Supplier C,In Stock,2023-03-05
103,Widget B,TOYS,Warehouse 2,Aisle 5,200,25.79,Supplier D,Low Stock,2023-04-25
104,Gadget Z,FURNITURE,Warehouse 2,Aisle 4,185,0,Supplier D,Low Stock,2023-04-25
105,Widget B,CLOTHING,Warehouse 1,Aisle 2,176,0,Supplier B,Low Stock,2023-03-05
106,Widget A,TOYS,Warehouse 1,Aisle 2,0,26.93,Supplier A,In Stock,2022-12-20
107,Gadget Z,FURNITURE,Warehouse 2,Aisle 1,200,0,Supplier B,Low Stock,2023-01-15
108,Gadget X,TOYS,Warehouse 2,Aisle 2,200,0,Supplier C,Low Stock,2023-03-05
109,Gadget X,FURNITURE,Warehouse 3,Aisle 5,200,0,Supplier B,Low Stock,2023-01-15
110,Widget B,FURNITURE,Warehouse 3,Aisle 5,200,23.68,Supplier D,Out Of Stock,2023-03-05
111,Gadget Z,FURNITURE,Warehouse 3,Aisle 3,0,0,Supplier D,In Stock,2023-01-15
112,Gadget Z,FURNITURE,Warehouse 1,Aisle 2,200,0,Supplier D,Out Of Stock,2023-04-25
113,Gadget X,TOYS,Warehouse 2,Aisle 2,51,0,Supplier A,Low Stock,2022-12-20
114,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 1,200,0,Supplier A,Low Stock,2023-01-15
115,Gadget Y,ELECTRONICS,Warehouse 1,Aisle 1,0,45.05,Supplier C,Low Stock,2023-03-05
116,Widget B,FURNITURE,Warehouse 3,Aisle 4,200,37.39,Supplier A,Out Of Stock,2022-12-20
117,Gadget Z,ELECTRONICS,Warehouse 2,Aisle 5,0,0,Supplier C,In Stock,2023-04-25
118,Widget C,ELECTRONICS,Warehouse 2,Aisle 2,269,0,Supplier C,In Stock,2023-01-15
119,Widget B,ELECTRONICS,Warehouse 1,Aisle 4,0,35.67,Supplier D,Low Stock,2022-12-20
120,Widget C,FURNITURE,Warehouse 3,Aisle 1,200,0,Supplier C,Low Stock,2023-04-25
121,Gadget X,ELECTRONICS,Warehouse 3,Aisle 4,282,24.96,Supplier D,Out Of Stock,2022-12-20
122,Gadget Y,TOYS,Warehouse 3,Aisle 5,255,38.56,Supplier A,Low Stock,2023-03-05
123,Widget A,TOYS,Warehouse 1,Aisle 5,200,12.74,Supplier B,Low Stock,2023-01-15
124,Widget C,FURNITURE,Warehouse 2,Aisle 3,200,48.98,Supplier C,Out Of Stock,2022-12-20
125,Widget B,TOYS,Warehouse 3,Aisle 5,200,0,Supplier A,Low Stock,2023-04-25
126,Gadget Y,TOYS,Warehouse 2,Aisle 1,200,0,Supplier D,Low Stock,2023-01-15
127,Gadget Z,TOYS,Warehouse 2,Aisle 4,156,14.5,Supplier B,Out Of Stock,2023-04-25
128,Widget A,CLOTHING,Warehouse 2,Aisle 1,200,17.07,Supplier C,Out Of Stock,2023-03-05
129,Widget A,FURNITURE,Warehouse 1,Aisle 2,0,13.71,Supplier D,Low Stock,2023-03-05
130,Gadget Y,FURNITURE,Warehouse 3,Aisle 3,84,0,Supplier C,Out Of Stock,2023-03-05
131,Widget B,CLOTHING,Warehouse 2,Aisle 3,179,0,Supplier B,In Stock,2023-03-05
132,Gadget Y,CLOTHING,Warehouse 1,Aisle 3,0,0,Supplier D,Out Of Stock,2023-04-25
133,Gadget X,FURNITURE,Warehouse 3,Aisle 3,200,0,Supplier A,In Stock,2023-03-05
134,Gadget Y,TOYS,Warehouse 2,Aisle 5,0,43.92,Supplier B,Low Stock,2023-01-15
135,Widget B,CLOTHING,Warehouse 2,Aisle 4,0,0,Supplier A,Low Stock,2023-04-25
136,Widget C,TOYS,Warehouse 2,Aisle 2,200,0,Supplier B,Low Stock,2022-12-20
137,Widget B,CLOTHING,Warehouse 2,Aisle 5,118,21.24,Supplier A,Out Of Stock,2023-03-05
138,Widget A,TOYS,Warehouse 2,Aisle 2,0,0,Supplier D,Out Of Stock,2023-04-25
139,Widget A,ELECTRONICS,Warehouse 2,Aisle 5,0,30.79,Supplier D,Out Of Stock,2023-01-15
140,Gadget Z,ELECTRONICS,Warehouse 2,Aisle 5,200,0,Supplier D,Out Of Stock,2022-12-20
141,Widget C,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier C,Low Stock,2023-03-05
142,Widget B,TOYS,Warehouse 3,Aisle 5,200,34.99,Supplier D,Out Of Stock,2023-04-25
143,Widget B,FURNITURE,Warehouse 2,Aisle 1,0,23.44,Supplier B,In Stock,2023-04-25
144,Widget A,ELECTRONICS,Warehouse 2,Aisle 3,200,0,Supplier A,Low Stock,2023-04-25
145,Widget A,FURNITURE,Warehouse 3,Aisle 2,200,0,Supplier A,Out Of Stock,2022-12-20
146,Gadget Y,TOYS,Warehouse 3,Aisle 4,187,0,Supplier B,Out Of Stock,2023-04-25
147,Widget C,TOYS,Warehouse 3,Aisle 5,200,29.52,Supplier B,Out Of Stock,2022-12-20
148,Widget C,FURNITURE,Warehouse 2,Aisle 2,200,0,Supplier D,Out Of Stock,2023-04-25
149,Gadget X,ELECTRONICS,Warehouse 2,Aisle 1,286,17.76,Supplier C,In Stock,2023-01-15
150,Widget B,CLOTHING,Warehouse 1,Aisle 2,101,0,Supplier A,Out Of Stock,2023-01-15
151,Gadget X,TOYS,Warehouse 1,Aisle 1,200,40.19,Supplier B,Out Of Stock,2023-03-05
152,Gadget X,CLOTHING,Warehouse 2,Aisle 2,204,21.84,Supplier B,Low Stock,2023-04-25
153,Gadget X,TOYS,Warehouse 2,Aisle 1,0,10.62,Supplier A,In Stock,2023-01-15
154,Widget B,CLOTHING,Warehouse 1,Aisle 3,0,0,Supplier A,In Stock,2022-12-20
155,Gadget Y,TOYS,Warehouse 2,Aisle 5,0,42.9,Supplier D,Low Stock,2022-12-20
156,Widget A,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier A,Low Stock,2023-03-05
157,Gadget Y,TOYS,Warehouse 3,Aisle 4,0,47.73,Supplier C,In Stock,2023-04-25
158,Widget C,ELECTRONICS,Warehouse 2,Aisle 3,171,44.64,Supplier B,Low Stock,2023-01-15
159,Gadget Y,TOYS,Warehouse 2,Aisle 5,0,42.38,Supplier D,Low Stock,2023-04-25
160,Widget A,ELECTRONICS,Warehouse 2,Aisle 1,200,21.43,Supplier D,Low Stock,2022-12-20
161,Gadget Z,FURNITURE,Warehouse 3,Aisle 5,83,0,Supplier D,In Stock,2023-03-05
162,Gadget Y,CLOTHING,Warehouse 2,Aisle 1,149,0,Supplier A,Low Stock,2023-04-25
163,Gadget Y,FURNITURE,Warehouse 3,Aisle 2,267,48.45,Supplier B,Low Stock,2023-04-25
164,Widget B,FURNITURE,Warehouse 2,Aisle 4,200,22.2,Supplier C,Out Of Stock,2023-04-25
165,Widget C,CLOTHING,Warehouse 1,Aisle 2,0,48.37,Supplier B,In Stock,2023-03-05
166,Widget A,FURNITURE,Warehouse 1,Aisle 1,100,0,Supplier D,Out Of Stock,2023-01-15
167,Widget C,CLOTHING,Warehouse 1,Aisle 1,200,0,Supplier B,In Stock,2023-04-25
168,Gadget Z,TOYS,Warehouse 2,Aisle 4,0,0,Supplier C,Low Stock,2023-03-05
169,Gadget Y,CLOTHING,Warehouse 2,Aisle 2,102,31.75,Supplier C,Out Of Stock,2022-12-20
170,Gadget X,CLOTHING,Warehouse 2,Aisle 4,200,15.73,Supplier A,Low Stock,2023-04-25
171,Widget B,FURNITURE,Warehouse 1,Aisle 5,99,39.46,Supplier C,Out Of Stock,2022-12-20
172,Gadget X,TOYS,Warehouse 1,Aisle 2,200,22.34,Supplier D,Low Stock,2023-04-25
173,Gadget Z,CLOTHING,Warehouse 1,Aisle 2,64,0,Supplier B,Low Stock,2023-04-25
174,Widget C,CLOTHING,Warehouse 1,Aisle 5,145,12.37,Supplier C,In Stock,2023-03-05
175,Widget A,ELECTRONICS,Warehouse 1,Aisle 5,53,43.73,Supplier A,Out Of Stock,2023-03-05
176,Gadget Z,FURNITURE,Warehouse 2,Aisle 2,200,46.19,Supplier A,Out Of Stock,2023-04-25
177,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 5,230,34.82,Supplier A,In Stock,2023-03-05
178,Gadget Y,TOYS,Warehouse 1,Aisle 5,0,11.57,Supplier C,In Stock,2022-12-20
179,Widget C,TOYS,Warehouse 2,Aisle 3,52,35.03,Supplier D,In Stock,2023-01-15
180,Gadget X,FURNITURE,Warehouse 3,Aisle 3,0,49.47,Supplier A,In Stock,2023-04-25
181,Gadget X,ELECTRONICS,Warehouse 1,Aisle 3,200,14.08,Supplier B,In Stock,2023-04-25
182,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 1,218,35.95,Supplier B,Out Of Stock,2023-04-25
183,Widget B,ELECTRONICS,Warehouse 2,Aisle 2,143,0,Supplier C,In Stock,2023-03-05
184,Widget C,ELECTRONICS,Warehouse 1,Aisle 2,138,0,Supplier D,In Stock,2023-04-25
185,Widget C,FURNITURE,Warehouse 3,Aisle 4,0,0,Supplier B,Low Stock,2023-04-25
186,Widget C,CLOTHING,Warehouse 3,Aisle 2,0,41.82,Supplier C,Out Of Stock,2023-03-05
187,Gadget Y,TOYS,Warehouse 1,Aisle 2,292,0,Supplier D,Out Of Stock,2023-03-05
188,Gadget Z,FURNITURE,Warehouse 2,Aisle 3,0,40.32,Supplier C,Low Stock,2023-01-15
189,Gadget Z,TOYS,Warehouse 3,Aisle 1,115,0,Supplier D,Out Of Stock,2023-04-25
190,Widget B,FURNITURE,Warehouse 3,Aisle 5,200,0,Supplier C,Low Stock,2022-12-20
191,Gadget X,TOYS,Warehouse 2,Aisle 1,66,47.23,Supplier D,In Stock,2023-03-05
192,Widget A,FURNITURE,Warehouse 1,Aisle 4,200,0,Supplier A,Out Of Stock,2023-01-15
193,Widget C,FURNITURE,Warehouse 3,Aisle 4,109,22.65,Supplier C,Low Stock,2023-03-05
194,Gadget Z,ELECTRONICS,Warehouse 1,Aisle 5,200,22.66,Supplier B,Out Of Stock,2023-01-15
195,Widget B,FURNITURE,Warehouse 2,Aisle 3,200,0,Supplier A,Out Of Stock,2022-12-20
196,Gadget X,FURNITURE,Warehouse 2,Aisle 4,200,25.67,Supplier D,Out Of Stock,2023-04-25
197,Gadget Y,FURNITURE,Warehouse 3,Aisle 3,168,28.48,Supplier A,In Stock,2023-03-05
198,Widget A,TOYS,Warehouse 3,Aisle 3,200,0,Supplier A,In Stock,2022-12-20
199,Gadget Z,TOYS,Warehouse 1,Aisle 3,126,0,Supplier C,Low Stock,2023-04-25
200,Widget B,ELECTRONICS,Warehouse 3,Aisle 3,277,39.24,Supplier D,Out Of Stock,2023-04-25
201,Gadget Y,FURNITURE,Warehouse 2,Aisle 3,200,48.31,Supplier C,Out Of Stock,2023-01-15
202,Widget C,FURNITURE,Warehouse 1,Aisle 4,200,22.06,Supplier D,In Stock,2022-12-20
203,Gadget Z,TOYS,Warehouse 1,Aisle 5,0,24.69,Supplier D,In Stock,2023-03-05
204,Widget A,ELECTRONICS,Warehouse 1,Aisle 4,0,0,Supplier B,In Stock,2023-01-15
205,Gadget X,ELECTRONICS,Warehouse 3,Aisle 5,200,20.78,Supplier D,In Stock,2022-12-20
206,Widget A,ELECTRONICS,Warehouse 1,Aisle 3,200,12.81,Supplier A,Low Stock,2022-12-20
207,Gadget Z,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier B,In Stock,2023-03-05
208,Widget A,CLOTHING,Warehouse 1,Aisle 1,0,0,Supplier A,In Stock,2023-04-25
209,Widget B,CLOTHING,Warehouse 3,Aisle 2,200,0,Supplier D,In Stock,2023-04-25
210,Gadget X,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier A,In Stock,2023-01-15
211,Widget A,ELECTRONICS,Warehouse 3,Aisle 1,0,18.69,Supplier D,Out Of Stock,2023-03-05
212,Gadget Z,ELECTRONICS,Warehouse 3,Aisle 4,200,31.14,Supplier A,Low Stock,2023-04-25
213,Gadget X,FURNITURE,Warehouse 1,Aisle 3,0,0,Supplier A,Out Of Stock,2023-04-25
214,Gadget Y,FURNITURE,Warehouse 1,Aisle 3,200,31.86,Supplier C,Out Of Stock,2022-12-20
215,Gadget Y,CLOTHING,Warehouse 3,Aisle 1,271,15.63,Supplier D,In Stock,2023-04-25
216,Widget C,CLOTHING,Warehouse 3,Aisle 3,0,37.99,Supplier B,In Stock,2023-04-25
217,Widget C,TOYS,Warehouse 3,Aisle 1,0,0,Supplier D,Out Of Stock,2023-01-15
218,Widget B,ELECTRONICS,Warehouse 3,Aisle 3,200,0,Supplier A,Out Of Stock,2023-03-05
219,Gadget Y,ELECTRONICS,Warehouse 2,Aisle 4,102,0,Supplier D,Out Of Stock,2023-04-25
220,Widget C,TOYS,Warehouse 1,Aisle 5,220,0,Supplier C,In Stock,2023-01-15
221,Gadget Z,ELECTRONICS,Warehouse 1,Aisle 1,287,44.85,Supplier C,In Stock,2023-03-05
222,Widget C,CLOTHING,Warehouse 1,Aisle 5,200,0,Supplier B,In Stock,2023-03-05
223,Gadget Z,TOYS,Warehouse 2,Aisle 4,200,21.52,Supplier B,Low Stock,2023-04-25
224,Widget B,FURNITURE,Warehouse 3,Aisle 3,200,47.59,Supplier C,Out Of Stock,2023-04-25
225,Gadget Y,ELECTRONICS,Warehouse 3,Aisle 1,90,0,Supplier C,In Stock,2022-12-20
226,Widget A,CLOTHING,Warehouse 1,Aisle 2,0,0,Supplier C,Out Of Stock,2023-01-15
227,Gadget X,TOYS,Warehouse 2,Aisle 2,200,34.09,Supplier A,In Stock,2023-01-15
228,Widget B,ELECTRONICS,Warehouse 1,Aisle 5,202,0,Supplier D,In Stock,2022-12-20
229,Widget C,CLOTHING,Warehouse 1,Aisle 1,200,44.67,Supplier D,In Stock,2023-03-05
230,Widget C,FURNITURE,Warehouse 1,Aisle 3,0,0,Supplier C,Out Of Stock,2023-01-15
231,Widget B,FURNITURE,Warehouse 3,Aisle 5,0,45.19,Supplier C,In Stock,2023-04-25
232,Gadget X,FURNITURE,Warehouse 3,Aisle 4,200,43.98,Supplier C,Out Of Stock,2022-12-20
233,Gadget Z,ELECTRONICS,Warehouse 3,Aisle 2,0,0,Supplier A,Out Of Stock,2023-04-25
234,Widget B,ELECTRONICS,Warehouse 1,Aisle 5,200,25.94,Supplier D,In Stock,2022-12-20
235,Widget B,ELECTRONICS,Warehouse 3,Aisle 4,0,31.63,Supplier B,Low Stock,2023-04-25
236,Widget A,CLOTHING,Warehouse 1,Aisle 3,200,0,Supplier A,In Stock,2022-12-20
237,Widget A,ELECTRONICS,Warehouse 1,Aisle 3,200,23.63,Supplier C,Out Of Stock,2023-03-05
238,Gadget X,ELECTRONICS,Warehouse 2,Aisle 2,82,0,Supplier A,Out Of Stock,2023-03-05
239,Widget C,ELECTRONICS,Warehouse 3,Aisle 2,200,16.99,Supplier C,Low Stock,2023-04-25
240,Gadget X,CLOTHING,Warehouse 1,Aisle 3,0,27.23,Supplier B,Low Stock,2023-01-15
241,Gadget Z,FURNITURE,Warehouse 3,Aisle 2,0,0,Supplier D,Out Of Stock,2023-04-25
242,Widget A,FURNITURE,Warehouse 3,Aisle 3,200,44.74,Supplier D,Out Of Stock,2022-12-20
243,Widget B,FURNITURE,Warehouse 3,Aisle 4,200,0,Supplier D,Low Stock,2023-01-15
244,Gadget Y,FURNITURE,Warehouse 1,Aisle 5,0,32.03,Supplier A,In Stock,2023-03-05
245,Gadget X,CLOTHING,Warehouse 3,Aisle 4,247,11.11,Supplier D,Low Stock,2023-01-15
246,Widget B,ELECTRONICS,Warehouse 2,Aisle 4,144,35.79,Supplier D,Out Of Stock,2023-04-25
247,Gadget Z,CLOTHING,Warehouse 2,Aisle 2,237,22.04,Supplier C,Out Of Stock,2023-04-25
248,Widget C,TOYS,Warehouse 3,Aisle 4,117,27.93,Supplier C,Out Of Stock,2023-04-25
249,Gadget X,TOYS,Warehouse 2,Aisle 5,59,48.55,Supplier C,In Stock,2023-04-25
250,Gadget X,ELECTRONICS,Warehouse 3,Aisle 1,0,28.52,Supplier B,In Stock,2023-01-15
251,Widget C,CLOTHING,Warehouse 3,Aisle 3,200,30.25,Supplier D,Low Stock,2023-04-25
252,Gadget Z,ELECTRONICS,Warehouse 2,Aisle 5,200,0,Supplier D,Low Stock,2023-01-15
253,Gadget Y,CLOTHING,Warehouse 1,Aisle 2,0,0,Supplier D,Out Of Stock,2023-03-05
254,Widget C,CLOTHING,Warehouse 3,Aisle 4,200,0,Supplier A,In Stock,2023-04-25
255,Gadget Z,FURNITURE,Warehouse 2,Aisle 4,200,0,Supplier A,In Stock,2023-04-25
256,Gadget Z,FURNITURE,Warehouse 2,Aisle 4,97,43.37,Supplier D,In Stock,2022-12-20
